Address,City,FF Year,Formatted Address,FSCS Key,FSCS Library Name,FSCS Public Library?,Legal Basis,Legal Basis Code,Library Name,Locale 1,State Code,Zip,Circulation,Library Building Calc,Library Buildings,Library Visit,Population,Programs,Revenue,Service Area Population,Staff,Total Staff,Visits
913 BALTIMORE AVE,KANSAS CITY,2022,"913 BALTIMORE AVE, KANSAS CITY, MO 64105",MO0014,MO0014 KANSAS CITY PUBLIC LIBRARY,Yes,Library District,LD,KANSAS CITY PUBLIC LIBRARY,City,MO,64105,1779541,11,11,227745,232498,1705,29270304,232498,199,199,227745
1415 OLIVE ST,ST. LOUIS,2022,"1415 OLIVE ST, ST. LOUIS, MO 63103",MO0030,MO0030 CITY OF ST. LOUIS MUNICIPAL LIBRARY DISTRICT,Yes,Library District,LD,CITY OF ST. LOUIS MUNICIPAL LIBRARY DISTRICT,City,MO,63103,1944810,16,16,967534,301578,3483,32052653,301578,349,349,967534
100 W BROADWAY,COLUMBIA,2022,"100 W BROADWAY, COLUMBIA, MO 65203",MO0034,MO0034 DANIEL BOONE REGIONAL LIBRARY,Yes,Library District,LD,DANIEL BOONE REGIONAL LIBRARY,City,MO,65203,2247205,6,6,303919,223840,328,14292917,223840,133,133,303919
4653 S CAMPBELL AVE,SPRINGFIELD,2022,"4653 S CAMPBELL AVE, SPRINGFIELD, MO 65810",MO0020,MO0020 SPRINGFIELD-GREENE COUNTY LIBRARY DISTRICT,Yes,Library District,LD,SPRINGFIELD-GREENE COUNTY LIBRARY DISTRICT,City,MO,65810,2547364,11,11,989665,298915,1857,16078229,298915,204,204,989665
210 E LEWIS AVE,LILBOURN,2022,"210 E LEWIS AVE, LILBOURN, MO 63862",MO0115,MO0115 LILBOURN MEMORIAL LIBRARY,Yes,Library District,LD,LILBOURN MEMORIAL LIBRARY,Rural,MO,63862,1626,1,1,186,822,0,117435,822,0,0,186
736 MISSISSIPPI AVENUE,CRYSTAL CITY,2022,"736 MISSISSIPPI AVENUE, CRYSTAL CITY, MO 63019",MO0077,MO0077 CRYSTAL CITY PUBLIC LIBRARY,Yes,Library District,LD,CRYSTAL CITY PUBLIC LIBRARY,Rural,MO,63019,9401,1,1,5506,4740,0,123951,4740,2,2,5506
711 N CLARK ST,CAPE GIRARDEAU,2022,"711 N CLARK ST, CAPE GIRARDEAU, MO 63701",MO0048,MO0048 MUNICIPAL LIBRARY DISTRICT OF THE CITY OF CAPE GIRARDEAU,Yes,Library District,LD,MUNICIPAL LIBRARY DISTRICT OF THE CITY OF CAPE GIRARDEAU,City,MO,63701,185577,1,1,90297,36170,885,1236508,36170,19,19,90297
1901 E 20TH STREET,JOPLIN,2022,"1901 E 20TH STREET, JOPLIN, MO 64804",MO0041,MO0041 JOPLIN PUBLIC LIBRARY,Yes,Library District,LD,JOPLIN PUBLIC LIBRARY,City,MO,64804,404833,1,1,175873,48784,305,2330018,48784,30,30,175873
1912 N BELT HWY,ST. JOSEPH,2022,"1912 N BELT HWY, ST. JOSEPH, MO 64506",MO0206,MO0206 ROLLING HILLS CONSOLIDATED,Yes,Library District,LD,ROLLING HILLS CONSOLIDATED,City,MO,64506,367315,3,3,150397,41674,496,3160237,41674,29,29,150397
"308 EAST HIGH, SUITE 205",JEFFERSON CITY,2022,"308 EAST HIGH, SUITE 205, JEFFERSON CITY, MO 65101",MO0175,MO0175 MISSOURI RIVER REGIONAL LIBRARY,Yes,Library District,LD,MISSOURI RIVER REGIONAL LIBRARY,City,MO,65101,553002,3,3,155044,90553,859,3654369,90553,44,44,155044
927 FELIX STREET,ST. JOSEPH,2022,"927 FELIX STREET, ST. JOSEPH, MO 64501",MO0227,MO0227 SAINT JOSEPH PUBLIC LIBRARY,Yes,Library District,LD,SAINT JOSEPH PUBLIC LIBRARY,City,MO,64501,172079,4,4,80916,61254,283,3584716,61254,43,43,80916
201 N HICKMAN ST,PUXICO,2022,"201 N HICKMAN ST, PUXICO, MO 63960",MO0166,MO0166 PUXICO PUBLIC LIBRARY,Yes,"Municipal Government (city, town or village)",CI,PUXICO PUBLIC LIBRARY,Rural,MO,63960,2266,1,1,1924,873,81,28767,873,1,1,1924
501 S BROADWAY,SALISBURY,2022,"501 S BROADWAY, SALISBURY, MO 65281",MO0118,MO0118 DULANY MEMORIAL LIBRARY,Yes,"Municipal Government (city, town or village)",CI,DULANY MEMORIAL LIBRARY,Rural,MO,65281,6274,1,1,2743,1563,24,63922,1563,1,1,2743
125 S OAK ST,MOUNTAIN VIEW,2022,"125 S OAK ST, MOUNTAIN VIEW, MO 65548",MO0021,MO0021 MOUNTAIN VIEW PUBLIC LIBRARY,Yes,"Municipal Government (city, town or village)",CI,MOUNTAIN VIEW PUBLIC LIBRARY,Rural,MO,65548,45387,1,1,32479,2533,80,113244,2533,2,2,32479
